135.90	393.22
291.82	255.94
474.10	324.98
347.35	343.51
479.63	267.10
147.00	251.73
104.69	359.11
294.79	32.70
335.38	121.20
341.64	251.63
472.57	357.62
353.68	99.03
226.86	91.38
271.91	204.53
23.21	134.75
274.93	267.40
296.25	248.64
421.51	43.76
470.76	233.79
212.66	240.94
333.35	306.98
414.03	19.82
133.68	410.65
341.87	268.54
218.11	190.27
473.09	113.67
479.55	150.69
474.28	348.00
188.11	40.92
127.43	106.44
351.73	440.96
80.06	15.38
119.32	425.30
392.80	192.56
75.86	96.53
177.42	135.33
357.18	226.17
450.15	383.90
230.96	95.65
55.40	69.36
322.74	315.56
461.03	380.41
476.72	86.38
102.18	287.40
405.67	279.51
112.55	13.48
119.26	452.70
374.42	496.73
115.76	175.51
189.24	439.82
384.31	175.25
197.89	342.32
301.00	422.77
274.07	265.41
58.32	332.33
167.92	216.61
302.72	298.30
158.19	90.13
287.57	149.29
301.93	98.55
23.45	50.99
223.39	440.03
186.41	313.28
27.34	344.62
443.45	367.17
165.55	317.02
45.82	207.01
6.54	29.48
56.21	165.26
470.24	243.51
67.32	363.55
395.54	411.90
138.18	223.88
27.77	112.22
167.03	302.56
472.48	257.89
331.29	256.06
451.55	229.63
59.23	258.96
199.93	321.91
320.64	401.61
492.89	301.78
173.90	242.28
29.07	269.41
460.46	339.18
225.72	101.55
16.09	254.27
488.39	362.88
173.19	121.74
410.30	493.82
142.27	345.11
64.54	366.70
305.33	184.34
105.54	403.55
223.19	323.72
80.86	420.73
190.03	147.30
38.28	182.22
252.97	13.74
356.10	353.79
