68.80	81.56
289.65	243.86
268.84	284.98
226.76	238.79
192.49	225.25
304.85	306.33
275.06	225.56
340.56	285.52
314.30	280.20
164.30	257.87
266.17	320.14
59.91	120.82
137.76	267.42
305.82	341.68
186.50	276.55
103.64	120.39
334.12	325.36
358.19	305.60
59.88	157.91
91.33	166.20
130.30	180.20
58.70	185.26
224.41	327.10
98.18	276.29
199.29	356.48
367.96	266.23
164.16	179.86
25.10	174.24
114.72	302.60
342.16	238.56
176.52	298.56
360.51	354.22
287.80	370.66
185.62	166.38
59.24	265.77
302.48	409.24
126.17	334.85
166.24	375.71
58.86	218.95
241.59	279.87
264.75	198.90
296.52	435.77
89.95	234.04
260.97	402.83
106.29	370.68
199.10	405.02
101.32	63.66
370.99	211.78
97.20	141.67
236.71	378.54
356.84	392.48
245.14	222.64
126.32	56.03
113.00	244.34
393.54	190.33
146.16	358.14
287.65	198.70
362.43	180.54
157.77	86.47
390.73	284.06
221.72	264.29
154.48	396.86
193.13	110.07
12.32	203.18
340.14	150.79
349.39	113.25
105.26	412.10
413.26	285.35
73.58	388.02
322.61	448.32
253.02	440.38
104.84	194.37
383.79	168.34
75.71	304.86
154.22	156.86
345.61	202.90
421.47	209.65
158.65	26.02
234.29	113.28
334.30	384.57
425.06	234.27
343.99	455.44
129.41	399.84
190.36	427.12
167.25	50.85
321.75	78.76
91.50	321.08
457.76	225.07
119.00	98.50
61.71	412.02
196.89	315.78
174.80	458.40
373.68	424.04
200.08	250.01
442.69	311.24
474.51	306.91
50.08	241.91
387.67	119.17
289.80	168.37
418.14	117.00
